Category,Proportion,F1,DR,Enc F1,Enc DR
Ninguno,0.9752462644184635,0.998310437708506,0.9990332565484678,0.9979755776212965,0.998932852925905
Exploits,0.006045753005391099,0.7116279069767442,0.6372049976862564,0.6477304372041214,0.5381767700138824
Reconnaissance,0.001840863247361103,0.6822742474916388,0.6200607902735562,0.5498094719651606,0.7674772036474165
DoS,0.0013176999840533122,0.008456659619450317,0.004246284501061571,0.01642710472279261,0.008492569002123142
Generic,0.008325849580769974,0.9630529054640069,0.9327956989247311,0.9613644274277758,0.9280913978494624
Shellcode,0.00028815944449573494,0.0,0.0,0.0,0.0
 Fuzzers,0.005659675303057008,0.5381622268781802,0.444389520514088,0.24773175542406312,0.15521502718734553
Worms,3.0774309606340626e-05,0.0,0.0,0.0,0.0
Backdoors,0.0006266768501654819,0.0,0.0,0.0,0.0
Analysis,0.0006182838566364799,0.0,0.0,0.0,0.0
 Reconnaissance ,0.0,0.0,0.0,0.0,0.0
Backdoor,0.0,0.0,0.0,0.0,0.0
 Fuzzers ,0.0,0.0,0.0,0.0,0.0
 Shellcode ,0.0,0.0,0.0,0.0,0.0
