proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
1.0,0.0,2.1098168257031924e-05,0.0007434237255902008,0.0001507491497380274,0.1220472440944882,0.11507936507936507,0.0,0.0,0.125,0.0017127169952617174,0.05187767944931984,0.0027548209366391185,0.002680965147453083,0.0,0.0,0.0,0.0,0.03571428571428571,0.05624142661179698,0.0,0.0,0.0,0.0,0.41573033668100834,0.0,5.426517924746327e-07,4.1496954761935167e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.2727272727272727,0.0,0.10526315789473684,0.0,0.0,0.0
1.0,0.0,0.0007225972641055304,0.0041666306480753115,0.00027943744829488,0.1220472440944882,0.11507936507936507,0.0,0.0,0.0,0.0003000442405004655,0.004211627897935116,0.008264462809917356,0.005361930294906166,0.0,0.0,0.0,0.0,0.09774436090225563,0.052126200274348417,0.0,0.0,2.8284210245871506e-05,4.7651709492202986e-05,0.41573033668100834,0.0,0.00022360445919322364,0.0002414590648501641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.13636363636363635,0.041666666666666664,0.10526315789473684,0.0,0.0,0.1
1.0,0.0,2.237805713707936e-05,0.0008644461925467449,0.00016361797959371264,0.1220472440944882,0.11507936507936507,0.0,0.0,0.125,0.0017860223410567876,0.053085885045810056,0.0027548209366391185,0.002680965147453083,0.0,0.0,0.0,0.0,0.04229323308270677,0.061042524005486966,0.0,0.0,0.0,0.0,0.41573033668100834,0.0,5.426517924746327e-07,4.1496954761935167e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.3181818181818182,0.0,0.05263157894736842,0.05555555555555555,0.0,0.0
1.0,0.0,2.4177900874646067e-05,0.0007434237255902008,0.0001507491497380274,0.1220472440944882,0.11507936507936507,0.0,0.0,0.125,0.0014945545100277838,0.04526960521545932,0.0027548209366391185,0.002680965147453083,0.0,0.0,0.0,0.0,0.03571428571428571,0.05624142661179698,0.0,0.0,0.0,0.0,0.41573033668100834,0.0,1.3725898280240707e-06,4.4689028205160947e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.36363636363636365,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.3377970324616415e-05,0.0008644461925467449,0.00016361797959371264,0.1220472440944882,0.11507936507936507,0.0,0.0,0.125,0.0017096312491519812,0.0508153170327981,0.0027548209366391185,0.002680965147453083,0.0,0.0,0.0,0.0,0.04229323308270677,0.061042524005486966,0.0,0.0,0.0,0.0,0.41573033668100834,0.0,1.5960346837489197e-07,9.576220329677347e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26086956521739135,0.36363636363636365,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.001566643983969312,0.004512409125094008,0.0002867910653552716,0.1220472440944882,0.11507936507936507,0.0,0.0,0.0,0.00014887634158068392,0.0019936869664827143,0.008264462809917356,0.005361930294906166,0.0,0.0,0.0,0.0,0.10714285714285712,0.053497942386831275,0.0,0.0,8.48789132078951e-05,0.00015331333815309656,0.41573033668100834,0.0,0.0006704303292555712,0.0007761526577203489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.13636363636363635,0.041666666666666664,0.10526315789473684,0.0,0.0,0.1
1.0,0.0,2.267803109334048e-05,0.0007434237255902008,0.0001507491497380274,0.1220472440944882,0.11507936507936507,0.0,0.0,0.125,0.0015934007305855864,0.04826362715205902,0.0027548209366391185,0.002680965147453083,0.0,0.0,0.0,0.0,0.03571428571428571,0.05624142661179698,0.0,0.0,0.0,0.0,0.41573033668100834,0.0,5.426517924746327e-07,4.1496954761935167e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.2727272727272727,0.0,0.05263157894736842,0.05555555555555555,0.0,0.0
0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016917293233082706,0.0,0.0,0.0,0.0,0.0,0.4269662909209728,0.019230768084526062,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.043478260869565216,0.045454545454545456,0.041666666666666664,0.05263157894736842,0.05555555555555555,0.3333333333333333,0.1
1.0,0.0,2.251804498333455e-05,0.0008644461925467449,0.00016361797959371264,0.1220472440944882,0.11507936507936507,0.0,0.0,0.125,0.0017749192588981597,0.05275586720402005,0.0027548209366391185,0.002680965147453083,0.0,0.0,0.0,0.0,0.04229323308270677,0.061042524005486966,0.0,0.0,0.0,0.0,0.4269662909209728,0.019230768084526062,5.74572486149611e-07,4.1496954761935167e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.2727272727272727,0.08333333333333334,0.0,0.0,0.0,0.0
1.0,0.0,2.333797379711494e-05,0.0007434237255902008,0.0001507491497380274,0.1220472440944882,0.11507936507936507,0.0,0.0,0.125,0.001548343105214881,0.046898841806271616,0.0027548209366391185,0.002680965147453083,0.0,0.0,0.0,0.0,0.03571428571428571,0.05624142661179698,0.0,0.0,0.0,0.0,0.4269662909209728,0.019230768084526062,5.74572486149611e-07,4.1496954761935167e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.2727272727272727,0.041666666666666664,0.0,0.0,0.0,0.0
