duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
0.0,0.5,0.3,0.875,1.2863199039876152e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.00196078431372549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5866141732283464,0.09448818897637795,0.17,0.03,0.17,0.0,0.0,0.0,0.05,0.0
0.0,1.0,0.6333333333333333,0.875,3.824902362162766e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.08,0.15,0.0,1.0,0.0,0.0,0.6,0.88,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.7166666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23921568627450981,0.00980392156862745,1.0,1.0,0.0,0.0,0.05,0.07,0.0,1.0,0.09842519685039369,0.1,0.05,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.5,0.35,0.875,6.077927041244944e-07,0.029805077062556664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00784313725490196,0.00784313725490196,0.2,0.2,0.0,0.0,1.0,0.0,0.0,0.11417322834645668,1.0,1.0,0.0,0.03,0.04,0.03,0.01,0.0,0.01
0.0,0.5,0.35,0.875,5.213394315550619e-07,0.0015354019828619893,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056862745098039215,0.060784313725490195,0.0,0.0,0.0,0.0,1.0,0.0,0.09,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.7166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.03529411764705882,0.0,0.0,1.0,1.0,0.16,0.06,0.0,1.0,0.07086614173228348,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.5,0.7166666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3235294117647059,0.01568627450980392,1.0,1.0,0.0,0.0,0.05,0.06,0.0,1.0,0.031496062992125984,0.04,0.05,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.5,0.7166666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22745098039215686,0.029411764705882353,1.0,1.0,0.0,0.0,0.14,0.06,0.0,1.0,0.05511811023622047,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274509803921569,0.043137254901960784,1.0,1.0,0.0,0.0,0.09,0.05,0.0,1.0,0.08661417322834647,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.5,0.7166666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25882352941176473,0.013725490196078431,1.0,1.0,0.0,0.0,0.06,0.06,0.0,1.0,0.047244094488188976,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.5,0.7166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.021568627450980392,0.0,0.0,1.0,1.0,0.06,0.06,0.0,1.0,0.04330708661417323,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.5,0.7166666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38823529411764707,0.00392156862745098,1.0,1.0,0.0,0.0,0.02,0.06,0.0,1.0,0.047244094488188976,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.5,0.35,0.875,7.51881491740215e-07,0.008229023484338899,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.011764705882352941,0.0,0.0,0.0,0.0,1.0,0.0,0.43,0.027559055118110236,0.8582677165354331,1.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0
0.0,0.5,0.3,0.875,8.750119102481944e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.00196078431372549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003937007874015748,0.07480314960629922,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0
