Category,Proportion,F1,DR,Enc F1,Enc DR
Ninguno,0.9751819181347411,0.9982377578659234,0.9993688498723355,0.9978718610668248,0.9992655707605359
Exploits,0.006112896953623116,0.664064678003903,0.5450800915331808,0.6307905686546464,0.5203661327231122
Reconnaissance,0.00205348575009582,0.7451471509079524,0.8106267029972752,0.2933930571108623,0.1784741144414169
DoS,0.0012085910681762864,0.018306636155606407,0.009259259259259259,0.0,0.0
Generic,0.00839299352900199,0.9603174603174602,0.9276666666666666,0.958073458073458,0.9216666666666666
Shellcode,0.0002489921413603923,0.021978021978021976,0.011235955056179775,0.0,0.0
 Fuzzers,0.005614912670902331,0.42589317297488505,0.2999501743896363,0.33172182967645963,0.2222222222222222
Worms,3.0774309606340626e-05,0.0,0.0,0.0,0.0
Backdoors,0.0005455445793851293,0.0,0.0,0.0,0.0
Analysis,0.0006098908631074778,0.0,0.0,0.0,0.0
 Reconnaissance ,0.0,0.0,0.0,0.0,0.0
Backdoor,0.0,0.0,0.0,0.0,0.0
 Fuzzers ,0.0,0.0,0.0,0.0,0.0
 Shellcode ,0.0,0.0,0.0,0.0,0.0
